,Unnamed: 5,Unnamed: 6,Growth,Tags
Index Number,C1) Funding FY2008,C2) Funding FY2009,percentGrowth,Target
PRG_0001,5.24,7.19,37.21374045801527,1
PRG_0002,14,14,0.0,0
PRG_0003,5,5,0.0,0
PRG_0004,4.57,11.79,157.98687089715534,1
PRG_0005,1.63,2.74,68.09815950920249,1
PRG_0006,3,3,0.0,0
PRG_0007,1.1,1.12,1.8181818181818195,1
PRG_0008,96.02,162.43,69.16267444282443,1
PRG_0009,64.76,77.99,20.429277331686208,1
PRG_0010,54.6,58.84,7.765567765567768,1
PRG_0012,1.75,1.52,-13.142857142857142,0
PRG_0013,5.09,4.68,-8.055009823182715,0
PRG_0014,51.46,51.85,0.7578701904391771,1
PRG_0015,37.28,40.86,9.603004291845489,1
PRG_0016,0,9.95,100,1
PRG_0017,5.57,5.15,-7.540394973070017,0
PRG_0018,11.37,14.88,30.87071240105542,1
PRG_0019,47.87,85.99,79.6323375809484,1
PRG_0020,62.67,100.47,60.315940641455235,1
PRG_0021,55.05,115,108.9009990917348,1
PRG_0022,29.48,29.09,-1.3229308005427427,0
PRG_0023,2.29,2.42,5.676855895196502,1
PRG_0025,2.71,4.22,55.719557195571944,1
PRG_0026,19.46,26.95,38.48920863309351,1
PRG_0027,2.32,2.71,16.810344827586214,1
PRG_0028,99.25,108.41,9.229219143576822,1
PRG_0029,41.66,42.6,2.256361017762854,1
PRG_0030,64.45,65.72,1.9705197827773406,1
PRG_0031,1.08,2,85.18518518518518,1
PRG_0032,3.97,5.79,45.843828715365234,1
PRG_0033,11.5,22.9,99.13043478260867,1
PRG_0034,15.85,17.18,8.391167192429021,1
PRG_0035,12.8,13.39,4.609374999999999,1
PRG_0036,29.74,31.13,4.673839946200406,1
PRG_0037,40.47,42.5,5.016061279960468,1
PRG_0038,5.93,6.88,16.020236087689717,1
PRG_0040,1.552,1.7,9.536082474226799,1
PRG_0041,0.581,1.209,108.08950086058522,1
PRG_0042,0.1441,0.5388,273.90700902151275,1
PRG_0043,7.8,7,-10.256410256410255,0
